stressor,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Cr - combustion - air,2690081.6038548443,2719893.8012536797,2657981.627360622,2599349.8510378436,2620793.8449180583,2667578.230400389,2621727.2339739082,2683416.4424704844,2839901.7426745063,2875245.7207883485,2932663.9155636895,2948151.5613720384,3014549.0795627898,2784636.9405473312,2740069.8296739217,2816154.9771911865,2921248.7606252995,2949092.919401937,2989561.127507418
Cu - combustion - air,51489803.51419598,54002955.932248406,54637342.380175345,55151547.255469054,58830820.29024652,60237568.58164285,57753769.92816177,59698178.508765966,61996495.02011319,67620487.44069697,70886671.83577427,75779868.93948051,80509157.97041938,80148165.19337988,75968017.71265946,80218979.47045882,79918875.33431028,77654885.7063973,77763266.71583793
Hg - combustion - air,2421298.9966504895,2512497.8307992923,2515497.389691052,2517060.6265401416,2655423.313631256,2723995.912397053,2608709.3701926265,2708441.68941229,2846522.891031773,3075331.5794161917,3222914.07528571,3428088.7259315997,3631931.81143234,3555214.3429440707,3381857.6144059584,3567203.4224458197,3591293.4538547685,3504031.88893248,3513471.891350166
Ni - combustion - air,17556260.558155004,17827977.29358371,17800786.669376157,17390961.703682773,17689490.77058845,17463532.190052237,17027442.00923486,16598204.598337915,16614424.027828256,16710000.504190471,16513938.535529464,16058485.077969898,16133615.4258677,15371488.063272174,14637833.62817697,14512635.239993159,14111237.618599467,13643929.468678247,13426207.227395158
Pb - combustion - air,6491780.7944297725,6375859.706055863,6286459.438033066,6091135.393405673,6051458.329095323,6138318.755389906,6083986.721866131,6202441.681346635,6578602.901013117,6833037.255179161,6993739.3906715475,7128536.599577568,7282362.9582542535,7059714.504670919,6998612.775133875,7151248.567777356,7390923.421778056,7451284.890743706,7495726.704538585
Se - combustion - air,7889285.226434484,7993876.354416452,7721044.266475351,7570189.21603917,7591521.73517683,7876385.045004945,7670180.744595773,8106067.21264475,8837112.06127062,8911517.724849656,9244613.317484478,9437119.947959341,9776331.109959714,8687108.73467202,8562727.231561774,8973181.303960085,9610638.684242751,9880596.555810465,10106130.89816034
Zn - combustion - air,14962794.184742136,14853939.808181224,14793213.488947395,14559708.805837398,14443903.462849494,14606133.934570283,14608656.97193781,14753919.357604234,15409864.878925983,15993799.854184005,16316484.63706702,16779039.424717337,17166374.809358653,17173174.291267402,17092753.322123364,17481882.252630066,18014040.059026062,18228440.15121376,18487911.475549914
As - non combustion - Agglomeration plant - pellets - air,112259.24089743494,103588.12974755214,93638.30989422968,86143.51496091,80363.9586317338,73520.24207971503,70252.60102284909,69104.82101638248,71025.53204562416,71953.7838215148,70860.96039200138,72371.17789999646,76543.51352581837,80735.42804471547,82693.25533179073,85289.99367150286,88536.01263479654,90402.5257319064,83153.28604734868
As - non combustion - Agglomeration plant - sinter - air,177025.7038101523,174720.98556315238,175692.90168065505,173413.31148473592,176260.98057042962,163353.86867950272,177741.895794387,191591.96592217678,208125.15652124025,226976.9608923997,246111.96797908354,260896.80949266165,275143.48877423024,296269.10320663126,313773.8925739897,335529.44804203627,334160.0214905377,361254.25625629077,340804.4418066978
As - non combustion - Glass production - air,1326.2901872621967,1173.0369193795827,1148.3798895467232,1067.5497437546292,865.2940192583392,742.3031241996086,645.8302285863874,549.8482543815716,529.4806946515065,506.38255253495134,494.78495354523244,469.1535138695302,424.7954993036816,416.029524369029,360.2455833285956,336.92948965477484,336.92948965470924,364.9976113913731,366.3210208387208
As - non combustion - Production of coke oven coke - air,793662.5603768845,766696.5881775467,752847.6697412647,700511.9339713748,653299.9121702381,650955.6286026436,663265.0176935404,649740.2041253765,732715.4688035386,795937.4810434938,933360.9352934901,1015222.969728354,1060675.8616210169,1084095.3812752091,1106885.7357137573,1192037.6452052707,1319651.960715876,1568809.6351687855,1622557.8357789458
As - non combustion - Production of gascoke - air,6632.19980000302,6076.521680996725,6291.646243088021,6753.077556161946,7320.854392432369,7468.774361502786,7495.415819540355,6574.676397782071,6747.989937117062,8584.653332243463,8467.865592064552,8287.73570696905,8960.702088495991,7587.0961423316685,6267.023306788637,6629.317048808221,5500.599395796801,6728.2303162666,7554.184696422669
As - non combustion - Steel production: basic oxygen furnace - air,12271455.23290962,11750852.23354701,11236864.853321278,10728467.648137169,10225038.333881529,14830643.766424555,11458459.211557703,11678855.52519167,12814353.742139775,15839039.301053584,18493347.62761025,23101503.43862434,27271028.370356407,24240279.247046188,14218311.89921377,25163135.449275523,32442825.22871449,36381068.65626069,34252211.192398876
As - non combustion - Steel production: electric arc furnace - air,400616.49175373226,382635.7142003765,364866.31875627715,347254.3797337428,329759.7989708143,558201.2101092752,373586.30705964076,340758.7905334165,339092.1580546248,361021.23568850744,370168.5372455373,429897.76174458856,483676.6834804378,457970.7425671489,359327.26031318057,486012.92955160455,560726.607614458,635318.8330429675,622464.5233780901
As - non combustion - Steel production: open hearth furnace - air,12490233.425286712,11373303.763611244,10256374.10193445,9139444.44024208,8022514.778562988,7893039.015680262,7801065.594832843,8191626.696250321,8699822.063732652,9437621.837083576,10113076.617891049,10397073.351875935,10586911.219179925,9956664.689669196,8659311.616396692,9508474.64293831,9308320.317928469,10015686.81402815,9226459.546608968
B(a)P - non combustion - Primary aluminium production - air,978639.5734014019,926133.6272666028,873627.681131669,821121.7349977338,768615.7888625001,1251099.0968849617,1109358.126920459,1185368.0222778257,1282982.9518598334,1401626.9126433954,1544124.9221995925,1434865.0609654114,1529449.3099203869,1478083.176297868,1080378.2222302922,1301708.0028213565,1571446.120381576,1703657.8701243976,1641458.588868389
B(a)P - non combustion - Production of coke oven coke - air,5952469.202821679,5750224.411332945,5646357.523060017,5253839.504790532,4899749.341274985,4882167.214522719,4974487.632698731,4873051.530944197,5495366.016029854,5969531.107824393,7000207.014705032,7614172.2729587685,7955068.962154955,8130715.359565722,8301643.017850907,8940282.339039126,9897389.70536404,11766072.26372866,12169183.76836116
B(a)P - non combustion - Production of gascoke - air,49741.498500024136,45573.91260751823,47187.34682316726,50648.08167121229,54906.40794316027,56015.80771127089,56215.618646540104,49310.0729833106,50609.92452840291,64384.89999179847,63508.991940484106,62158.017802292896,67205.26566377733,56903.22106753455,47002.67480093978,49719.87786610952,41254.49546855076,50461.727372,56656.38522314985
B(b)F - non combustion - Primary aluminium production - air,1304852.7645347689,1234844.8363550622,1164836.9081764685,1094828.9799963739,1024821.051816794,1668132.1291791548,1479144.169228616,1580490.6963705881,1710643.9358125622,1868835.883524469,2058833.2295993837,1913153.4146204577,2039265.7465609855,1970777.568397929,1440504.2963067687,1735610.6704293236,2095261.4938420742,2271543.8268320607,2188611.4518249445
B(b)F - non combustion - Production of coke oven coke - air,1984156.400937081,1916741.470441188,1882119.1743531423,1751279.8349292285,1633249.78042506,1627389.0715071897,1658162.544233295,1624350.5103132434,1831788.6720069435,1989843.7026114766,2333402.3382382425,2538057.4243228775,2651689.6540553514,2710238.453188179,2767214.33928661,2980094.1130100433,3299129.9017911195,3922024.087906973,4056394.5894542206
B(b)F - non combustion - Production of gascoke - air,16580.499500008053,15191.304202539442,15729.11560772208,16882.693890407463,18302.13598105742,18671.935903751968,18738.539548847326,16436.690994405268,16869.97484276571,21461.63333063215,21169.663980158424,20719.33926740168,22401.755221288455,18967.74035587518,15667.558266946668,16573.29262207289,13751.49848951726,16820.575790667,18885.461741086325
B(k)F - non combustion - Primary aluminium production - air,1304852.7645347689,1234844.8363550622,1164836.9081764685,1094828.9799963739,1024821.051816794,1668132.1291791548,1479144.169228616,1580490.6963705881,1710643.9358125622,1868835.883524469,2058833.2295993837,1913153.4146204577,2039265.7465609855,1970777.568397929,1440504.2963067687,1735610.6704293236,2095261.4938420742,2271543.8268320607,2188611.4518249445
B(k)F - non combustion - Production of coke oven coke - air,1984156.400937081,1916741.470441188,1882119.1743531423,1751279.8349292285,1633249.78042506,1627389.0715071897,1658162.544233295,1624350.5103132434,1831788.6720069435,1989843.7026114766,2333402.3382382425,2538057.4243228775,2651689.6540553514,2710238.453188179,2767214.33928661,2980094.1130100433,3299129.9017911195,3922024.087906973,4056394.5894542206
B(k)F - non combustion - Production of gascoke - air,16580.499500008053,15191.304202539442,15729.11560772208,16882.693890407463,18302.13598105742,18671.935903751968,18738.539548847326,16436.690994405268,16869.97484276571,21461.63333063215,21169.663980158424,20719.33926740168,22401.755221288455,18967.74035587518,15667.558266946668,16573.29262207289,13751.49848951726,16820.575790667,18885.461741086325
CH4 - non combustion - Extraction/production of (natural) gas - air,12053049030.282314,12578635121.901451,12243867335.15217,11809980673.798986,12317634885.13485,12703294836.276232,12589384295.512789,12869091047.540112,13168411036.962282,13498406384.63307,13784171067.948576,14628219795.140251,14977459944.170528,15499835130.831783,14798510321.885868,16250726981.937763,17168057750.749773,17571200789.96865,20217455614.860836
CH4 - non combustion - Extraction/production of crude oil - air,50907780525.63899,52622511080.65516,50447625851.08507,46258573496.169685,43805497189.921974,43627757743.70253,43110304968.61717,42329578480.15545,44875691993.89054,45695847407.3915,45835114567.741104,46891873008.80532,46230902648.278595,46992337825.551575,46399549603.24666,47964371396.84002,48504459719.71039,50415205790.379875,48424862404.3689
CH4 - non combustion - Mining of antracite - air,393467689.83186036,332293850.05752236,334980260.4986905,337665961.82065195,320297711.8857418,380933809.19220275,396997658.2689547,453725651.3329056,474171612.20925623,698284436.9997246,865230367.1126591,922926490.1816921,949898296.6922358,856312297.5097798,905926829.7414441,978741360.3365246,1092510822.2775018,1073717273.9407482,1039522739.2134764
CH4 - non combustion - Mining of bituminous coal - air,19047139226.015274,19010224334.335068,18796883121.96135,18304777149.1143,17966425334.966022,18471508169.68968,19263379471.491417,19374980012.866104,21041447208.64593,22612085716.258583,24481853634.89083,25642659639.341526,26728219107.924362,27115698829.25439,27395153434.794117,28579233074.000927,30554197653.23529,31891585112.515186,33523818531.397305
CH4 - non combustion - Mining of coking coal - air,4102152321.062555,3918009011.313968,3943273734.3893795,3683169237.3997197,3800095512.0972123,3764440824.9787507,3807172249.348575,3784564552.690775,4170457638.9486704,4649641350.855423,5154577699.039465,5470086161.376348,5702552167.636384,5601226219.779975,5541437141.242767,6319210480.420446,6825493141.501669,7114903711.300146,6803761058.037093
CH4 - non combustion - Mining of lignite (brown coal) - air,427566308.2634423,422160419.8679495,448366879.229154,445485132.1112764,421310232.6011139,417247320.52702796,394117474.24116236,383338766.6215084,344368461.12225443,345821614.16420525,334937590.8729916,362331270.3894384,366677800.1553096,365167797.38244295,355122572.5977238,362437071.0752742,411807672.3849127,407197796.4023633,434062302.96272755
CH4 - non combustion - Mining of sub-bituminous coal - air,2182815216.5427117,2168978717.4328084,2252127329.118426,2307222921.9522486,2482560878.620068,2491741471.7353864,2607859484.7616405,2648915940.416164,2875606515.466757,3109885778.498652,3217278214.804126,3340569681.534021,3483648668.695023,3591027306.9783206,3389319162.346262,3469772885.5984397,3694288026.339183,3646988477.762516,3503761308.890436
CH4 - non combustion - Oil refinery - air,516308210.75451493,536140198.9933117,531880659.3018075,509637612.3633158,513604672.2554076,320515546.68087244,539245025.150749,259168889.8023013,608330852.1442387,675453012.7830064,644829243.6627945,677310534.0836699,309022614.3900344,315180762.9983918,324650272.5898223,334479783.79395276,823866598.709935,859814832.7295359,357944003.61388373
CO - non combustion - Agglomeration plant - sinter - air,44760595279.52957,43868265948.10015,43882237628.02737,42999381412.20034,43541935770.63342,40829096667.80348,44122337706.61725,47197494605.16407,51017951177.26505,55482455087.28986,60025613874.15274,63625898917.2604,67076653718.99035,72438178305.29471,76793867027.58957,82330266445.4836,82208671312.0236,88828833075.20786,83005149200.81767
CO - non combustion - Bricks production - air,8037837870.4591465,8360762798.113723,8602243088.478046,8714223777.62579,8569703000.332727,8799790962.812075,8981173528.53551,8986370456.374498,9103429360.879364,9516037450.28791,10047150731.563118,10475342628.368904,10802198252.820951,11280495567.472265,11375274747.670565,11947376112.31851,12087185056.63581,13457930880.475843,12375129875.194443
CO - non combustion - Carbon black production - air,114076334.6992462,119440217.11253215,126699022.52274111,130006215.67192893,130837524.47789389,109225433.09826417,136006924.1103285,157845557.46409458,174675701.79385224,194258511.22470057,221260696.1054014,231623403.46704224,233154471.93036172,237912022.77486697,246479545.86699015,256854824.94064406,260494724.80254546,291072767.43398696,288833842.9168488
CO - non combustion - Cement production - air,258448028.79214248,265755052.56499955,274121085.7001221,274121085.69986504,284801127.9995541,293701163.24954325,307941219.6496262,329301304.24974376,361341431.14980763,389738453.720204,418219718.04471755,466259132.7955154,500064143.6622845,507196873.2551936,539222596.4123225,581941756.8768077,642419809.4125962,756419860.6895547,800098727.3222146
"CO - non combustion - Chemical wood pulp, dissolving grades - air",5847406.9344178,5400406.318153133,5864110.344461574,5833637.724448838,5713853.081664651,5764577.302912299,5526666.9966889415,5621386.896272637,5910505.493897338,5965423.030285324,6548471.755501701,6604929.565933836,6726925.869164458,7505323.248265726,6635325.551769921,7265282.8670935985,7265282.867097883,7577177.452502388,7463185.923720479
"CO - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",163931301.3825172,163000105.69025832,167226318.64083493,168523613.6792345,173538988.6792015,172923075.542818,170833756.0758681,175077422.13568938,177498737.14959908,182168440.25165334,182501636.68340436,179936159.8169992,191753198.47258016,187895681.61357838,176967190.08649534,189482140.6112137,189482140.6111491,191505594.45362863,182871247.84506953
