,,0
1996,AT,0.5616018489195619
1996,AU,0.3623451931066373
1996,BE,0.45059046084093857
1996,BG,0.057686343072031014
1996,BR,0.2398983561184489
1996,CA,0.29864181418395797
1996,CH,0.7479040365965512
1996,CN,0.06159890998672182
1996,CY,0.27262785963585495
1996,CZ,0.07733250682896427
1996,DE,0.5313121758002682
1996,DK,0.5802917633064573
1996,EE,0.1109035863524309
1996,ES,0.42407099145678834
1996,FI,0.5407960947971914
1996,FR,0.47235061417845625
1996,GB,0.35710655718131445
1996,GR,0.27262785963585484
1996,HR,0.23938829699172845
1996,HU,0.09703765740934232
1996,ID,0.05644559911824075
1996,IE,0.39466905077416015
1996,IN,0.3311516539146416
1996,IT,0.38613154399306565
1996,JP,0.40340849329525247
1996,KR,0.18834936951932588
1996,LT,0.06846966422417088
1996,LU,0.5070496885230167
1996,LV,0.07919710817122776
1996,MT,0.2726278596358549
1996,MX,0.14554952938205
1996,NL,0.42823835263789695
1996,NO,0.6416169743015027
1996,PL,0.15714776509377593
1996,PT,0.36229674956608504
1996,RO,0.04949509231831171
1996,RU,0.08167954334272812
1996,SE,0.6215180246341171
1996,SI,0.2297601168234503
1996,SK,0.10643653863284039
1996,TR,0.19299782861785514
1996,TW,0.18834936951932585
1996,US,0.5302711390399951
1996,WA,0.05705211352064721
1996,WE,0.05582585176790818
1996,WF,0.09604571189226957
1996,WL,0.17787411689538113
1996,WM,0.13427300658559657
1996,ZA,0.3411258171186657
1997,AT,0.4713808924160325
1997,AU,0.3963057067720618
1997,BE,0.39455231248629824
1997,BG,0.054787085224702346
1997,BR,0.2764493295476333
1997,CA,0.30378880130616814
1997,CH,0.6114624939244048
1997,CN,0.07586688400228982
1997,CY,0.23792337135637381
1997,CZ,0.10287423847279709
1997,DE,0.45324078712368043
1997,DK,0.4827532097387008
1997,EE,0.12579800934262375
1997,ES,0.36974663536222907
1997,FI,0.4550811931577247
1997,FR,0.41447496966615466
1997,GB,0.37054352368707677
1997,GR,0.27029385109840476
1997,HR,0.22514597377972403
1997,HU,0.1250575965929006
1997,ID,0.1753119608052452
1997,IE,0.3868961764834229
1997,IN,0.2998139380164155
1997,IT,0.3557903782199888
1997,JP,0.3728583910166912
1997,KR,0.17231315786695706
1997,LT,0.08357610427445734
1997,LU,0.42192081291246003
1997,LV,0.12180974824623955
1997,MT,0.26846984460919354
1997,MX,0.20125157773621766
1997,NL,0.37121812840873686
1997,NO,0.5624557190660868
1997,PL,0.16647293180969142
1997,PT,0.32945592309951044
1997,RO,0.21169403742405282
1997,RU,0.24851341890354361
1997,SE,0.513980773474301
1997,SI,0.21825793080133063
1997,SK,0.13457981066693367
1997,TR,0.6085246596438804
1997,TW,0.18733530341590582
1997,US,0.5144660697953584
